,accession,maturity_height_type,Block,Row,Col,Plot,Trt,DOY186,DOY193,DOY200,DOY207,DOY208,DOY209,DOY210,DOY215,DOY216,DOY217,DOY221,DOY223,DOY224,DOY229,DOY231,DOY236,DOY241,DOY252,DOY266,Heading10%,Heading50,Heading90
1,PI 533919,Type1,1,1,1,10101,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,210,219,227
28,PI 533964,Type1,1,2,1,10201,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,216,221,227
55,PI 533841,Type1,1,3,1,10301,LN,NA,NA,0,NA,30,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,203,210,215
82,PI 533842,Type1,1,4,1,10401,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
109,PI 534127,Type1,1,5,1,10501,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,209,215,227
136,PI 533852,Type1,1,6,1,10601,LN,NA,NA,0,NA,10,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,208,213,221
163,PI 533869,Type1,1,7,1,10701,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
190,PI 533810,Type1,1,8,1,10801,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,212,217,220
217,PI 533878,Type2,1,9,1,10901,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,212,218,225
244,PI 534028,Type2,1,10,1,11001,LN,NA,NA,0,NA,5,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
271,PI 533967,Type2,1,11,1,11101,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,100,NA,NA,NA,NA,NA,216,221,227
298,PI 48770,Type2,1,12,1,11201,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,215,218,221
325,check,Check,1,13,1,11301,LN,NA,NA,0,NA,5,NA,NA,40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,216,220
352,PI 574455,Type2,1,14,1,11401,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
379,PI 533882,Type2,1,15,1,11501,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,215,219,226
406,PI 565121,Type2,1,16,1,11601,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,216,220
2,PI 533761,Type1,1,1,2,10102,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,216,219,225
29,PI 534128,Type1,1,2,2,10202,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,217,220
56,PI 533856,Type1,1,3,2,10302,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,216,223,229
83,PI 533757,Type1,1,4,2,10402,LN,NA,NA,0,NA,20,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,211,214
110,check,Check,1,5,2,10502,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,214,220
137,PI 533845,Type1,1,6,2,10602,LN,NA,NA,0,NA,10,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,208,212,218
164,PI 533901,Type1,1,7,2,10702,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,214,220
191,PI 534155,Type1,1,8,2,10802,LN,NA,NA,0,NA,10,NA,NA,30,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,208,217,220
218,PI 576380,Type2,1,9,2,10902,LN,NA,NA,NA,NA,0,NA,NA,30,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,210,217,221
245,PI 576130,Type2,1,10,2,11002,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,100,NA,NA,NA,NA,NA,221,225,228
272,PI 276837,Type2,1,11,2,11102,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,255,266,NA
299,PI 533789,Type2,1,12,2,11202,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,209,214,225
326,PI 533927,Type2,1,13,2,11302,LN,NA,NA,NA,NA,0,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,215
353,PI 542406,Type2,1,14,2,11402,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,40,100,NA,NA,231,237,240
380,PI 24969,Type2,1,15,2,11502,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,216,221,229
407,PI 576359,Type2,1,16,2,11602,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
3,PI 534096,Type1,1,1,3,10103,LN,NA,NA,0,NA,90,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,204,208
30,PI 533822,Type1,1,2,3,10203,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
57,PI 534157,Type1,1,3,3,10303,LN,NA,NA,0,NA,5,NA,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,209,215,221
84,PI 534112,Type1,1,4,3,10403,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,210,216,221
111,PI 534054,Type1,1,5,3,10503,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,215,218,221
138,check,Check,1,6,3,10603,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,215,221
165,PI 534148,Type1,1,7,3,10703,LN,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,218
192,PI 533821,Type1,1,8,3,10803,LN,NA,NA,NA,NA,0,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,212,218
219,PI 576345,Type2,1,9,3,10903,LN,NA,NA,NA,NA,0,NA,NA,60,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,214,221
246,PI 34911,Type2,1,10,3,11003,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20,100,NA,NA,232,238,240
273,check,Check,1,11,3,11103,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
300,PI 533989,Type2,1,12,3,11203,LN,NA,NA,NA,NA,0,NA,NA,10,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,215,219,226
327,PI 533824,Type2,1,13,3,11303,LN,NA,NA,NA,NA,0,NA,NA,20,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,212,218,221
354,PI 533799,Type2,1,14,3,11403,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
381,PI 561472,Type2,1,15,3,11503,LN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,222,225,228
408,PI 561071,Type2,1,16,3,11603,LN,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,216,219,229
4,PI 576422,Type1,1,1,4,10104,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,209,213,221
31,PI 564164,Type1,1,2,4,10204,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,80,NA,NA,100,NA,NA,NA,NA,NA,210,216,225
58,check,Check,1,3,4,10304,LN,NA,NA,NA,NA,0,NA,NA,50,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,209,215,221
85,PI 642791,Type1,1,4,4,10404,LN,NA,NA,NA,NA,0,NA,NA,5,NA,NA,90,NA,NA,100,NA,NA,NA,NA,NA,215,218,221
112,PI 597973,Type1,1,5,4,10504,LN,NA,NA,NA,NA,0,NA,NA,40,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,210,216,220
139,PI 607931,Type1,1,6,4,10604,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,216,218,221
166,PI 655978,Type1,1,7,4,10704,LN,NA,NA,NA,NA,0,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,216,218,220
193,PI 576376,Type1,1,8,4,10804,LN,NA,NA,NA,NA,0,NA,NA,70,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,209,213,219
